project_id,dataset_id,table_id,creation_time,last_modified_time,row_count,size_bytes,type,last_modified_datetime
skyuk-uk-viewing-tf-dev,rohandataset,slot_external_less_data,1611050294851,1611050294851,0,0,3,2021-01-19 09:58:14.851
skyuk-uk-viewing-tf-dev,rohandataset,slot_table,1611146477520,1611146477520,0,0,3,2021-01-20 12:41:17.520
